channel_id,url,categ_1_id,language_id,interest,date,rss_url
3blue1brown,https://www.youtube.com/3blue1brown,Maths,En,,2023-11-21 18:24:00,UCYO_jab_esuFRV4b17AJtAw
12Parsecs,https://www.youtube.com/12Parsecs,Science,Fr,,2023-11-21 18:23:00,UCkMsSGlEMPRxhqvGj6qeucQ
AdrienLinuxtricks,https://www.youtube.com/AdrienLinuxtricks,Tech,Fr,,2023-11-21 16:40:00,UCDKPGD9T00eS_l--D_DRTUQ
AIforyouMorganGautherot,https://www.youtube.com/AIforyouMorganGautherot,IA,Fr,,2023-11-21 16:45:00,UCyikblNJCntBClfPOhPbFqQ
Alexandre-ToutpourmaSante,https://www.youtube.com/Alexandre-ToutpourmaSante,Medical,?,,2023-11-21 18:41:00,
algomius,https://www.youtube.com/algomius,Maths,Fr,,2023-11-21 18:41:00,
allocine,https://www.youtube.com/allocine,Cinema,Fr,,2023-11-21 16:28:00,UCwXc5G-RAKu9oC2yO4cXmuw
AlphaBody,https://www.youtube.com/AlphaBody,Muscle,?,,2023-11-21 18:43:00,UCk8nwwBG9rw74CwOzZ2SlZA
AlphaFloor320,https://www.youtube.com/AlphaFloor320,Fly,Fr,,2023-11-21 18:21:00,UCMsa7d7RleWlicVj2ZjfP5A
AnanasMuscle,https://www.youtube.com/AnanasMuscle,Muscle,Fr,,2023-11-21 18:43:00,UCmm1zwh36e_WN1E7_-4j1Bw
Andre.Manoukian,https://www.youtube.com/Andre.Manoukian,Music,Fr,,2023-11-21 18:23:00,
AndrejKarpathy,https://www.youtube.com/AndrejKarpathy,IA,En,,2023-11-21 18:34:00,UCXUPKJO5MZQN11PqgIvyuvQ
antoinebm,https://www.youtube.com/antoinebm,?,Fr,,2023-11-21 18:41:00,UCUyGfgvkPXfV80exjZIqmVQ
ArjanCodes,https://www.youtube.com/ArjanCodes,IA,En,,2023-11-21 18:41:00,UCVhQ2NnY5Rskt6UjCUkJ_DA
artefamilyfr,https://www.youtube.com/artefamilyfr,Misc.,Fr,,2023-11-21 18:17:00,UCXV7LUI7G1MaKRN18yQ5y7Q
artetumourrasmoinsbete,https://www.youtube.com/artetumourrasmoinsbete,Science,Fr,,2023-11-21 16:39:00,
AssemblyAI,https://www.youtube.com/AssemblyAI,IA,En,,2023-11-21 16:31:00,UCtatfZMf-8EkIwASXM4ts0A
AstronoGeek,https://www.youtube.com/AstronoGeek,Space,Fr,,2023-11-21 18:31:00,UC5X4e8ScZI2AFd_vkjSoyoQ
ATECHUET,https://www.youtube.com/ATECHUET,Fly,Fr,,2023-11-21 16:29:00,
AudeWTFake,https://www.youtube.com/AudeWTFake,Sceptic,Fr,,2023-11-21 16:39:00,UC8Ux-LOyEXeioYQ4LFzpBXw
aureliechevalierpiano,https://www.youtube.com/aureliechevalierpiano,Piano,?,,2023-11-21 18:23:00,UCS0vS10KAA2e7wWuUWvorNw
automatants-associationdia7325,https://www.youtube.com/automatants-associationdia7325,IA,En,,2023-11-21 18:17:00,
baborlelefan,https://www.youtube.com/baborlelefan,Humour,Fr,,2023-11-21 16:29:00,UCU2gnFgbyaI5AVDgcvscjdw
BaladeMentale,https://www.youtube.com/BaladeMentale,Science,Fr,,2023-11-21 18:24:00,
BarilletMontre,https://www.youtube.com/BarilletMontre,Watch,Fr,,2023-11-21 16:22:00,
BazarduGrenier,https://www.youtube.com/BazarduGrenier,Gaming,Fr,,2023-11-21 16:41:00,UCCMxHHciWRBBouzk-PGzmtQ
beINSPORTSFrance,https://www.youtube.com/beINSPORTSFrance,Sport,Fr,,2023-11-21 16:19:00,UCfj4kQ6_mYO5r4hzX5KloVw
BenjaminCode,https://www.youtube.com/BenjaminCode,Code,Fr,,2023-11-21 18:41:00,UCLOAPb7ATQUs_nDs9ViLcMw
benzaieTV,https://www.youtube.com/benzaieTV,Gaming,Fr,,2023-11-21 16:13:00,UC3SLk50bvlivTtnFZqk-bHQ
bienvenueaucabinet,https://www.youtube.com/bienvenueaucabinet,Finance,Fr,,2023-11-21 16:42:00,
biostatistique5586,https://www.youtube.com/biostatistique5586,Stats,Fr,,2023-11-21 18:21:00,
blablalinux,https://www.youtube.com/blablalinux,Tech,Fr,,2023-11-21 18:21:00,UCNomA5Zdzq9_TkYxDBiov2w
