id_categ_1,id_categ_2
Economy,Business
Finance,Business
Alcool,Culture
Cinema,Culture
Droit,Culture
History,Culture
Philo,Culture
Watch,Culture
Humour,Entertain.
Chess,Games
Gaming,Games
Poker,Games
Agriculture,Misc.
Bricole,Misc.
Fly,Misc.
Misc,Misc.
School,Misc.
Misc.,Misc.
?,Misc.
Guitar,Music
Music,Music
Cuivres,Music
Piano,Music
NewsFR,News
Maths,Science
Space,Science
Sceptic,Science
Science,Science
Stats,Science
Cars,Sport
F1,Sport
Medical,Sport
Muscle,Sport
Sport,Sport
Data,Tech
Code,Tech
Hack,Tech
IA,Tech
Python,Tech
Tech,Tech
