id_categ_2,created_at,updated_at
Business,2023-11-29 14:49:15,2023-11-29 14:49:15
Culture,2023-11-29 14:49:15,2023-11-29 14:49:15
Entertain.,2023-11-29 14:49:15,2023-11-29 14:49:15
Games,2023-11-29 14:49:15,2023-11-29 14:49:15
Misc.,2023-11-29 14:49:15,2023-11-29 14:49:15
Music,2023-11-29 14:49:15,2023-11-29 14:49:15
News,2023-11-29 14:49:15,2023-11-29 14:49:15
Science,2023-11-29 14:49:15,2023-11-29 14:49:15
Sport,2023-11-29 14:49:15,2023-11-29 14:49:15
Tech,2023-11-29 14:49:15,2023-11-29 14:49:15
